Transect;Sample nº;Sample (Yes/No);Time camera;Time adjusted;Lat ;Long;Notes;;Time Correction;06:29:49;;
1;1;Yes;18:58:45;12:28:56;37,007348;-7,805927;Coordinates aprox. Ponto não gravado pelo GPS;;;;;
1;2;Yes;19:03:19;12:33:30;37,007501;-7,806371;Coordinates aprox. Ponto não gravado pelo GPS;;;;;
1;3;Yes;19:07:26;12:37:37;37,007626;-7,80666942;Coordinates aprox. Ponto não gravado pelo GPS;;;;;
1;4;No;19:10:22;12:40:33;37,00776154;-7,80706957;;;;;;
1;5;Yes;19:13:20;12:43:31;37,00785156;-7,80720536;;;;;;
1;6;No;19:16:58;12:47:09;37,00807234;-7,80744776;;;;;;
2;S1;No;19:49:24;13:19:35;37,0095561;-7,81818154;;;;;;
2;S2;No;19:50:48;13:20:59;37,0093256;-7,81787988;;;;;;
2;S3;No;19:52:50;13:23:01;37,00923575;-7,81704236;;;;;;
2;S4;No;19:54:28;13:24:39;37,00902519;-7,81641891;;;;;;
2;S5;No;19:57:04;13:27:15;37,00874591;-7,81509952;;;;;;
2;S6;No;20:00:42;13:30:53;37,00837031;-7,81352808;;;;;;
2;S7;No;20:02:45;13:32:56;37,00797737;-7,81286859;;;;;;
2;S8;No;20:04:46;13:34:57;37,00763363;-7,81193661;;;;;;
2;S9;No;20:06:46;13:36:57;37,00755157;-7,81080346;;;;;;
2;S10;No;20:08:48;13:38:59;37,00732727;-7,80966176;;;;;;
2;S11;No;20:09:25;13:39:36;37,00734521;-7,80949194;Notas dizem 11pontos amostragem. No video só 10;;;;;
3;7;No;20:40:23;14:10:34;37,0065563;-7,82675489;;;;;;
3;8;No;20:41:46;14:11:57;37,00632982;-7,82664224;;;;;;
3;9;No;20:43:33;14:13:44;37,00585625;-7,82635759;Apanhou-se amostra aqui. Contudo era tão pouca a biomassa que quando se transferiu para os sacos de amostra aconteceu algo (ou a amostra perdeu-se do saco de rede ou não foi colocada em saco ZIP);;;;;
3;10;Yes;20:46:44;14:16:55;37,00523842;-7,82577915;;;;;;
3;11;Yes;20:50:48;14:20:59;37,00470968;-7,8250309;;;;;;
3;12;Yes;20:54:49;14:25:00;37,00423477;-7,82465162;;;;;;
3;13;No;20:58:27;14:28:38;37,00371073;-7,82421073;;;;;;
3;14;No;21:02:02;14:32:13;37,00304898;-7,82345988;;;;;;
4;15;No;21:34:38;15:04:49;37,00610217;-7,83212769;;;;;;
4;16;No;21:36:12;15:06:23;37,00573773;-7,83172963;;;;;;
4;17;No;21:40:27;15:10:38;37,00528996;-7,83106855;;;;;;
4;18;Yes;21:42:51;15:13:02;37,00499635;-7,83066974;;;;;;
4;19;Yes;21:46:37;15:16:48;37,00462704;-7,82992115;;;;;;
4;20;Yes;21:50:31;15:20:42;37,00437558;-7,82956165;;;;;;
4;21;No;21:54:43;15:24:54;37,00401348;-7,82913133;;;;;;
4;22;;;;;;Notas dizem que houve amostragem, mas no video não é feita.;;;;;
